D6,2
D8,32
D9,22
E10,1
E5,1
E7,29
E8,38
E9,53
F0,7
F10,23
F5,9
F6,192
F7,53
F8,15
F9,209
G10,56
G11,29
G4,2
G5,61
G6,375
G7,971
G8,95
G9,573
H1,1
H10,55
H11,47
H2,3
H3,4
H4,82
H5,1043
H6,1101
H7,1091
H8,872
H9,40
I10,38
I11,3
I12,1
I4,613
I5,1274
I6,612
I7,833
I8,573
I9,36
J10,990
J11,124
J12,18
J4,450
J5,622
J6,3790
J7,12351
J8,287
J9,275
K10,209
K11,54
K12,7
K2,2
K3,234
K4,84
K5,299
K6,8398
K7,31020
K8,1287
K9,190
L1,1
L10,196
L11,15
L2,170
L3,111
L4,780
L5,763
L6,1480
L7,6474
L8,13641
L9,331
M10,1228
M11,148
M12,3
M2,9794
M3,993
M4,543
M5,255
M6,1207
M7,1013
M8,1013
M9,201
N0,2
N1,278
N10,294
N2,185
N3,58
N4,193
N5,92
N6,227
N7,271
N8,1905
N9,60
O0,17
O1,68
O2,33
O3,6
O4,1430
O5,532
O6,1477
O7,1072
O8,11
P0,2
P1,40
P3,40
P4,68
P5,122
P6,1
P7,24
Q4,12
Q5,97
R3,1
R5,10
R6,2
out_of_range,30
